Blanc/Wit | (blanc)
Rose pâle/Bleek roze| (rosepale)
Crème/Creme | (creme)
Gris clair/Lichtgrijs | (grisclair)
Gris foncé/Donkergrijs | (grisfonce)
Bleugris/Blauwgrijs | (bleugris)
Bleu roi/Koningsblauw | (bleuroy)
Moutarde/mosterd | (moutarde)
Rouge/Rode | (rouge)
Bordeaux/Bordeaux | (bordeaux)
Kaki/Khaki | (kaki)
Choco/Choco | (choco)
Noir/Zwart | (noir)
Gris/Grijs | (gris)
Orange/Oranje | (orange)
Jaune/Geel | (jaune)
Camel petit/Camel klein | (camel)
Violet clair/Light violet | (violetclair)
Violet/Violet | (bdviolet)
Bleu clair/Light blauw | (bord-bleu-7)
Bleu/Blauw | (bord-bleu-22)
