Noir petit/Zwarte klein | (47bd-16p-noirpetit)
Blanc petit/Witte klein | (61bd-1p-blancpetit)
Gris clair petit/Lichtgrijs klein | (36bd-4p-grisclairpetit)
Rouge petit/Rood klein | (59bd12p-rougepetit)
Camel petit/Camel klein | (75bd20p-camelpetit)
Ecossais vert/Ecossais groen | (3bdsc4-ecossaisvert)
Vichy/Vichy | (35bdvichy)
Ecossais/Ecossais | (65bdsc1-ecossais)
Ecossais bleu/Ecossais blauw  | (7sc2-ecossaisbleu)
Rouge écossais/Rood écossais | (13sc3-rougeecossais)
Bleu roi petit/Koningsblauw klein | (-7bd9p-bleuroypetit)
