Blanc/Wit | (1-blanc) 
Gris brillant/Glanzende grijze  | (1b-gris-brillant)
Gris clair/Lichtgrijs | (2-grisclair)
Nuance bleu/blauw  | (2b-nuancebleu)
Gris/Grijs | (3-gris)
Nuance marine/Marine schaduw | (3b-nuancemarine)
Or/Goud | (5-jauneor)
Nuance vert/Groen schaduw | (5b-nuancevert)
Moutarde/Blaag | (6-moutarde)
Nuance marron/Bruine tint | (6b-nuancemarron)
Jaune paille/Geel | (7-jaunepaille)
Rouge/Rood | (8-rouge)
Rose blanc / Roze wit | (8b-rose-alterne-blanc)
Bodeaux/Bodeaux | (9-bodeaux)
Noir/Zwart | (10-noir)
Rose pâle/Roze bleek | (11-rose-pale)
Bleu ciel/Blauwe hemel | (12-ciel)
Bleu roi/Koningsblauw | (13-bleuroy)
Vert champagne or/Groene champagne goud | (13b-vert-champagne-or)
Marine/Marine | (14-marine)
Bordeaux doré/Bordeaux gouden | (14b-bordeaux-dore.png
Marine or/Marine goud | (14o-marineor)
Rose/Roze | (15-rose)
Gris argenté/Zilvergrijs | (15b-gris-argente.png
Vert sapin/Groene spar | (16-vertsapin)
Rouille/Roest | (17-rouille)
Bleu/Blauwe | (18-bleu)
Blanc argenté marine/Wit zilver marine | (19-bam)
Blanc or marine/Wit goud marine | (20-bom)
Bleu ciel/Blauwe hemel | (21-bleu-ciel)
Gris foncé/Donkergrijs | (22-grisfonce)
Gris perle/Parelgrijs | (23-grisperle)
Camel/Camel | (24-camel)
Choco/Choco | (25-choco)
Vert clair/Lichtgroen | (26-vertclair)
Orange/Oranje | (29-orange)
Mauve pâle/Lichtpaars | (30-mauve-pale)
Violet/Violet | (31-violet)
Aubergine/Aubergine | (32-aubergine)
Fuschia/Fuschia | (33-fuschia)
Vert flash/Flash groen | (35-vert-flash)
Argent/Zilver | (arg)
Marron or/Bruin goud | (mo-marron-or)
Noir or/Zwarte goud | (no-noiror)
Or/Goud | (oro)
