Blanc petit/Kleine witte | (1p-blancpetit)-
Gris petit/Grijs klein | (2p-gris.png
Gris petit/Grijs klein | (3p-gris.png)
Champagne petit/Champagne klein | (4p-champagnepetit)
Rouge petit/Rood klein  | (8p-rougepetit)
Bodeaux petit/Bodeaux klein | (9p-bordeau.png
Noir petit/Zwart klein | (10p-noirpetit)
Bleu ciel petit/Blauwe hemel klein | (12p-cielpetit)
Bleu roi petit/Koningsblauw klein  | (13p-bleuroypetit)
Marine petit/Marine klein | (14p-marinepetit)
Vert sapin petit/Groene spar klein | (16p-vertsapinpetit)
Rouille petit/Roest klein | (17p-rouillepetit)
Bleu petit/Blauwe klein  | (18p-bleu)
Bleu gris petit/Blauw grijs klein | (21p-bleugris)
Taupe petit/Mol klein | (22p-taupe)
Camel petit/Camel klein | (24p-camelpetit)
Choco petit/Choco klein | (25p-chocopetit)
Parme petit/Parme klein | (30p-parme)
Violet petit/Violet klein | (31p-violetpetit)
Aubergine petit/Aubergine klein | (32p-aubergine)
Fuschia petit/Fuschia klein | (33p-fushia)
Jaune petit/Geel klein | (34p-jaune)
Vert petit/Groen klein | (35p-vert)
Argent petit/Zilver klein | (a-p)
Or petit/Goud klein | (o-p)
