Blanc/Wit | (1-blanc)
Gris brillant/Glanzende grijze  | (1b-gris-brillant.png
Blanc petit/Kleine witte | (1p-blancpetit)
Gris clair/Lichtgrijs | (2-grisclair)
Nuance bleu/blauw  | (2b-nuancebleu)
Gris petit/Grijs klein | (2p-gris.png
Gris/Grijs | (3-gris)
Nuance marine/Marine schaduw | (3b-nuancemarine)
Gris petit/Grijs klein | (3p-gris.png)
Champagne petit/Champagne klein | (4p-champagnepetit)
Or/Goud | (5-jauneor)
Nuance vert/Groen schaduw | (5b-nuancevert)
Moutarde/Blaag | (6-moutarde)
Nuance marron/Bruine tint | (6b-nuancemarron)
Jaune paille/Geel | (7-jaunepaille)
Rouge/Rood | (8-rouge)
Rose blanc / Roze wit | (8b-rose-alterne-blanc)
Rouge petit/Rood klein  | (8p-rougepetit)
Bodeaux/Bodeaux | (9-bodeaux)
Bodeaux petit/Bodeaux klein | (9p-bordeau.png
Noir/Zwart | (10-noir)
Noir petit/Zwart klein | (10p-noirpetit)
Rose pâle/Roze bleek | (11-rose-pale)
Bleu ciel/Blauwe hemel | (12-ciel)
Bleu ciel petit/Blauwe hemel klein | (12p-cielpetit)
Bleu roi/Koningsblauw | (13-bleuroy)
Vert champagne or/Groene champagne goud | (13b-vert-champagne-or)
Bleu roi petit/Koningsblauw klein  | (13p-bleuroypetit)
Marine/Marine | (14-marine)
Bordeaux doré/Bordeaux gouden | (14b-bordeaux-dore.png
Marine or/Marine goud | (14o-marineor)
Marine petit/Marine klein | (14p-marinepetit)
Rose/Roze | (15-rose)
Gris argenté/Zilvergrijs | (15b-gris-argente.png
Vert sapin/Groene spar | (16-vertsapin)
Vert sapin petit/Groene spar klein | (16p-vertsapinpetit)
Rouille/Roest | (17-rouille)
Rouille petit/Roest klein | (17p-rouillepetit)
Bleu/Blauwe | (18-bleu)
Bleu petit/Blauwe klein  | (18p-bleu)
Blanc argenté marine/Wit zilver marine | (19-bam)
Blanc or marine/Wit goud marine | (20-bom)
Bleu ciel/Blauwe hemel | (21-bleu-ciel)
Bleu gris petit/Blauw grijs klein | (21p-bleugris)
Gris foncé/Donkergrijs | (22-grisfonce)
Taupe petit/Mol klein | (22p-taupe)
Gris perle/Parelgrijs | (23-grisperle)
Camel/Camel | (24-camel)
Camel petit/Camel klein | (24p-camelpetit)
Choco/Choco | (25-choco)
Choco petit/Choco klein | (25p-chocopetit)
Vert clair/Lichtgroen | (26-vertclair)
Orange/Oranje | (29-orange)
Mauve pâle/Lichtpaars | (30-mauve-pale)
Parme petit/Parme klein | (30p-parme)
Violet/Violet | (31-violet)
Violet petit/Violet klein | (31p-violetpetit)
Aubergine/Aubergine | (32-aubergine)
Aubergine petit/Aubergine klein | (32p-aubergine)
Fuschia/Fuschia | (33-fuschia)
Fuschia petit/Fuschia klein | (33p-fushia)
Jaune petit/Geel klein | (34p-jaune)
Vert flash/Flash groen | (35-vert-flash)
Vert petit/Groen klein | (35p-vert)
Argent petit/Zilver klein | (a-p)
Argent/Zilver | (arg)
Marron or/Bruin goud | (mo-marron-or)
Noir or/Zwarte goud | (no-noiror)
Or petit/Goud klein | (o-p)
Or/Goud | (oro)
